Region,State,City,annual_volume_in_unit_sales,annual_growth_in_unit_sales
Northeast,PA,Philadelphia,"20,767,580",24.51%
Northeast,PA,Harrisburg,"12,721,139",21.96%
Northeast,NY,Buffalo,"6,964,267",21.51%
Northeast,NY,Albany,"4,651,103",20.40%
Northeast,NY,New York,"67,556,116",19.45%
Northeast,NY,Syracuse,"3,213,477",17.09%
Northeast,MA,Boston,"25,472,959",15.00%
Northeast,CT,Hartford,"12,520,850",11.51%
Northeast,PA,Pittsburgh,"5,082,343",10.17%
Great Lakes,IL,Chicago,"31,592,759",25.58%
Great Lakes,IN,Indianapolis,"9,274,773",21.15%
Great Lakes,OH,incinnati,"11,755,812",15.47%
Great Lakes,OH,Columbus,"8,877,642",15.06%
Great Lakes,MI,Detroit,"18,504,285",10.59%
Great Lakes,MI,Grand Rapids,"6,703,699",7.82%
Midsouth,MD,Baltimore,"35,231,644",23.20%
Midsouth,VA,Richmond,"12,456,771",22.50%
Midsouth,NC,Charlotte,"11,516,204",20.91%
Midsouth,NC,Raleigh,"14,723,429",17.28%
Midsouth,KY,Louisville,"4,704,126",16.14%
Midsouth,TN,Nashville,"10,082,879",15.63%
Midsouth,VA,Roanoke,"7,368,093",13.47%
Southeast,GA,Atlanta,"26,709,043",20.14%
Southeast,FL,Orlando,"18,751,807",18.08%
Southeast,FL,Tampa,"19,497,491",11.60%
Southeast,FL,Jacksonville,"7,693,233",9.76%
Plains,MO,St. Louis,"7,546,583",16.83%
South Central,TX,Dallas,"53,909,788",15.11%
South Central,LA,New Orleans,"11,768,206",14.63%
South Central,TX,Houston,"50,018,745",12.91%
West,ID,Boise,"4,077,274",25.29%
West,OR,Portland,"25,386,053",25.11%
West,WA,Spokane,"3,716,472",21.65%
West,WA,Seattle,"22,401,531",19.03%
West,CO,Denver,"33,632,555",16.93%
West,AZ,Phoenix,"42,916,480",12.16%
West,NV,Las Vegas,"12,636,456",10.64%
California,CA,San Diego,"20,359,897",19.08%
California,CA,San Francisco,"31,663,394",14.18%
California,CA,Sacramento,"16,803,496",12.21%
California,CA,Los Angeles,"103,597,103",9.51%
